Diancie-mega,tapubulu,toxapex,landorus-therian,jirachi,magnezone,||gen7|ou|sm|offence|Mega-Diancie|Tapu Bulu|Toxapex|Jirachi|Landorus|Magnezone|,https://pokepast.es/7fbbf51fa842dc9b,GEN7OU, GIGA TESTMéga-Diancie 2,Maxouille,31/10/17
Amoonguss,mandibuzz,kommoo,magearna-original,dragapult,Urshifu,||gen8|ou|SwSh|Balance|Magearna|,https://pokepast.es/2801b6461c0f21b9,ou, Trick Scarf Magearna Balance,talah,20/06/20
Reuniclus,Toxapex,Skarmory,Chansey,ditto,weezing-galar,||gen8|ou|SwSh|Stall|Chansey|,https://pokepast.es/b420256b3cb519e6,ou, Chansey Semistall,Ruft,20/06/20
Urshifu,Slowbro,marowak-alolan,corviknight,hydreigon,clefable,||gen8|ou|SwSh|Balance|Urshifu|,https://pokepast.es/cd4245e0993e86ef,ou, Choice Band Urshifu Balance,Finchinator,20/06/20
mew,magearna,bisharp,azumarill,dragapult,hawlucha,||gen8|ou|SwSh|HO|Azumarill|,https://pokepast.es/47a719e88b1217f9,ou, Belly Drum Azumarill Hyper Offense,Jordy,20/06/20
pelliper,ferrothorn,Kingdra,Barraskewda,magearna,Seismitoad,||gen8|ou|SwSh|Rain|Barraskewda|,https://pokepast.es/44813784bb32c2ee,ou, Barraskewda Rain,Finchinator,20/06/20
Dragapult,Alakazam,clefable,Corviknight,Kommoo,Hydreigon,||gen8|ou|SwSh|Balance|Alakazam|,https://pokepast.es/79cf4ef30d193588,ou, Plot Alakazam Balance,TPP,20/06/20
Landorus-Therian,Hawlucha,Magearna,Kyurem-Black,TapuKoko,Medicham-Mega,||gen7|ou|sm|volturn|voltturn|volt turn|Mega-Medicham|Tapu Koko|Kyurem-Black|Magearna|Hawlucha|Landorus|,https://pokepast.es/bdeb8955e47c6862,gen7ou, Volt-turn,VStallX,18/04/17
poké1,poké2,poké3,poké4,poké5,poké6,tags("|" séparated),https://pokepast.es/,format, nom,auteur,date
