0)url, 1)format, 2)date, 3)pseudo, 4)title, 5)notes, 6)team, 7)isprivate, 8)tags, 9)paste
b61f391f66217029,gen8ou,2021-03-11 15:44:14.820233,Random strat,rachi + tang stall by t04ster,,Jirachi|Toxapex|Quagsire|Mandibuzz|Blissey|Tangrowth|,[u'off'],|all|gen8|SS|ou|t04ster|Random strat|,"jirachi||leftovers|serenegrace|uturn,ironhead,wish,protect|careful|252,,,,224,32|||||,,]toxapex||rockyhelmet|regenerator|scald,recover,haze,knockoff|bold|252,,252,,4,|||||,,]quagsire||leftovers|unaware|scald,earthquake,recover,toxic|relaxed|248,,40,,220,|||||,,]mandibuzz||heavydutyboots|overcoat|foulplay,roost,defog,knockoff|impish|248,,116,,144,|F||||,,]blissey||heavydutyboots|naturalcure|seismictoss,softboiled,thunderwave,teleport|bold|252,,252,,4,|F||||,,]tangrowth||rockyhelmet|regenerator|gigadrain,knockoff,focusblast,sleeppowder|relaxed|252,,252,,4,|||||,,"
d122fd5ff246c463,gen8ou,2021-03-11 16:04:17.985218,t04ster,dmag by t04ster,,Kyurem|Terrakion|Garchomp|Magnezone|Regieleki|Dragonite|,[u'on'],|all|gen8|SS|ou|t04ster|t04ster|,"kyurem||choicespecs|pressure|icebeam,freezedry,dracometeor,focusblast|modest|,,,252,4,252|||||,,]terrakion||focussash|justified|stealthrock,taunt,closecombat,stoneedge|jolly|,252,4,,,252|||||,,]garchomp||lifeorb|roughskin|swordsdance,earthquake,stoneedge,scaleshot|jolly|,252,4,,,252|||||,,]magnezone||airballoon|magnetpull|irondefense,bodypress,thunderbolt,substitute|bold|,,252,116,,140|||||,,]regieleki||lightclay|transistor|reflect,lightscreen,rapidspin,explosion|adamant|96,252,,,,160|||||,,]dragonite||heavydutyboots|multiscale|dragondance,dualwingbeat,earthquake,extremespeed|jolly|,252,,,4,252|||||,,"
d2821b8261e050ef,gen8ou,2021-03-11 16:10:40.701796,t04ster,dmag by t04ster,,Kyurem|Terrakion|Garchomp|Magnezone|Regieleki|Dragonite|,[],|all|gen8|SS|ou|t04ster|t04ster|,"kyurem||choicespecs|pressure|icebeam,freezedry,dracometeor,focusblast|modest|,,,252,4,252|||||,,]terrakion||focussash|justified|stealthrock,taunt,closecombat,stoneedge|jolly|,252,4,,,252|||||,,]garchomp||lifeorb|roughskin|swordsdance,earthquake,stoneedge,scaleshot|jolly|,252,4,,,252|||||,,]magnezone||airballoon|magnetpull|irondefense,bodypress,thunderbolt,substitute|bold|,,252,116,,140|||||,,]regieleki||lightclay|transistor|reflect,lightscreen,rapidspin,explosion|adamant|96,252,,,,160|||||,,]dragonite||heavydutyboots|multiscale|dragondance,dualwingbeat,earthquake,extremespeed|jolly|,252,,,4,252|||||,,"
49aea6dc05abefb1,gen8ou,2021-03-17 22:53:54.953799,Maxouille,LA BIRD SPAM,[u'raw'],Archeops|Zapdos-Galar|Skarmory|Dragonite|Bisharp|Zeraora|,[],||gen8|SS|ou|LA BIRD SPAM|Maxouille|,"falling|archeops|powerherb|defeatist|airslash,meteorbeam,earthpower,focusblast|timid|36,,72,248,,152|||||,,]fighting|zapdosgalar|iapapaberry|defiant|closecombat,bravebird,bulkup,agility|jolly|,252,,,4,252|||||,,]enduring|skarmory|custapberry|sturdy|stealthrock,spikes,taunt,bravebird|jolly|,252,,,4,252|||||,,]scamming|dragonite|weaknesspolicy|multiscale|dragondance,dualwingbeat,roost,earthquake|jolly|,252,,,4,252|||||,,]slashing|bisharp|blackglasses|defiant|swordsdance,ironhead,knockoff,suckerpunch|adamant|36,252,4,,,216|||||,,]fisting|zeraora|lifeorb|voltabsorb|plasmafists,knockoff,closecombat,bulkup|jolly|,252,,,4,252|||||,,"
